Região,Unidade_Federação,Ano,Metas
Pará,Privada,2015,6.6
Pará,Privada,2017,6.8
Pará,Privada,2019,7
Pará,Privada,2021,7.2
Pará,Pública,2007,2.7
Pará,Pública,2009,3
Pará,Pública,2011,3.4
Pará,Pública,2013,3.7
Pará,Pública,2015,4
Pará,Pública,2017,4.3
Pará,Pública,2019,4.6
Pará,Pública,2021,4.9
Pernambuco,Estadual,2007,3.2
Pernambuco,Estadual,2009,3.5
Pernambuco,Estadual,2011,3.9
Pernambuco,Estadual,2013,4.2
Pernambuco,Estadual,2015,4.5
Pernambuco,Estadual,2017,4.8
Pernambuco,Estadual,2019,5.1
Pernambuco,Estadual,2021,5.4
Pernambuco,Privada,2007,5.5
Pernambuco,Privada,2009,5.8
Pernambuco,Privada,2011,6.2
Pernambuco,Privada,2013,6.4
Pernambuco,Privada,2015,6.6
Pernambuco,Privada,2017,6.8
Pernambuco,Privada,2019,7
Pernambuco,Privada,2021,7.2
Pernambuco,Pública,2007,2.9
Pernambuco,Pública,2009,3.2
Pernambuco,Pública,2011,3.6
Pernambuco,Pública,2013,3.9
Pernambuco,Pública,2015,4.2
Pernambuco,Pública,2017,4.5
Pernambuco,Pública,2019,4.8
Pernambuco,Pública,2021,5.1
Piauí,Estadual,2007,2.6
Piauí,Estadual,2009,2.9
Piauí,Estadual,2011,3.3
Piauí,Estadual,2013,3.6
Piauí,Estadual,2015,3.9
Piauí,Estadual,2017,4.2
Piauí,Estadual,2019,4.5
Piauí,Estadual,2021,4.8
Piauí,Privada,2007,5.5
Piauí,Privada,2009,5.8
Piauí,Privada,2011,6.1
Piauí,Privada,2013,6.4
Piauí,Privada,2015,6.6
Piauí,Privada,2017,6.8
Piauí,Privada,2019,7
Piauí,Privada,2021,7.2
Piauí,Pública,2007,2.7
Piauí,Pública,2009,3
Piauí,Pública,2011,3.4
Piauí,Pública,2013,3.7
Piauí,Pública,2015,4
Piauí,Pública,2017,4.3
Piauí,Pública,2019,4.6
Piauí,Pública,2021,4.9
R. G. do Norte,Estadual,2007,2.6
R. G. do Norte,Estadual,2009,2.9
R. G. do Norte,Estadual,2011,3.3
R. G. do Norte,Estadual,2013,3.6
R. G. do Norte,Estadual,2015,3.9
R. G. do Norte,Estadual,2017,4.2
R. G. do Norte,Estadual,2019,4.5
R. G. do Norte,Estadual,2021,4.8
R. G. do Norte,Privada,2007,5.1
R. G. do Norte,Privada,2009,5.4
R. G. do Norte,Privada,2011,5.8
R. G. do Norte,Privada,2013,6
R. G. do Norte,Privada,2015,6.3
R. G. do Norte,Privada,2017,6.5
R. G. do Norte,Privada,2019,6.7
R. G. do Norte,Privada,2021,7
R. G. do Norte,Pública,2007,2.5
R. G. do Norte,Pública,2009,2.8
R. G. do Norte,Pública,2011,3.2
R. G. do Norte,Pública,2013,3.5
R. G. do Norte,Pública,2015,3.8
R. G. do Norte,Pública,2017,4.1
R. G. do Norte,Pública,2019,4.4
R. G. do Norte,Pública,2021,4.7
R. G. do Sul,Estadual,2007,4.2
R. G. do Sul,Estadual,2009,4.6
R. G. do Sul,Estadual,2011,5
R. G. do Sul,Estadual,2013,5.3
R. G. do Sul,Estadual,2015,5.5
R. G. do Sul,Estadual,2017,5.8
R. G. do Sul,Estadual,2019,6.1
R. G. do Sul,Estadual,2021,6.3
R. G. do Sul,Privada,2007,5.9
R. G. do Sul,Privada,2009,6.2
R. G. do Sul,Privada,2011,6.5
R. G. do Sul,Privada,2013,6.7
R. G. do Sul,Privada,2015,6.9
R. G. do Sul,Privada,2017,7.1
R. G. do Sul,Privada,2019,7.3
R. G. do Sul,Privada,2021,7.5
R. G. do Sul,Pública,2007,4.2
R. G. do Sul,Pública,2009,4.5
R. G. do Sul,Pública,2011,4.9
R. G. do Sul,Pública,2013,5.2
R. G. do Sul,Pública,2015,5.5
R. G. do Sul,Pública,2017,5.7
R. G. do Sul,Pública,2019,6
R. G. do Sul,Pública,2021,6.3
Rio de Janeiro,Estadual,2007,3.8
Rio de Janeiro,Estadual,2009,4.1
Rio de Janeiro,Estadual,2011,4.5
Rio de Janeiro,Estadual,2013,4.8
Rio de Janeiro,Estadual,2015,5.1
Rio de Janeiro,Estadual,2017,5.4
Rio de Janeiro,Estadual,2019,5.7
Rio de Janeiro,Estadual,2021,5.9
Rio de Janeiro,Privada,2007,5.8
Rio de Janeiro,Privada,2009,6.1
Rio de Janeiro,Privada,2011,6.4
Rio de Janeiro,Privada,2013,6.6
Rio de Janeiro,Privada,2015,6.8
Rio de Janeiro,Privada,2017,7
Rio de Janeiro,Privada,2019,7.2
Rio de Janeiro,Privada,2021,7.4
Rio de Janeiro,Pública,2007,4.1
Rio de Janeiro,Pública,2009,4.4
Rio de Janeiro,Pública,2011,4.8
Rio de Janeiro,Pública,2013,5.1
Rio de Janeiro,Pública,2015,5.4
Rio de Janeiro,Pública,2017,5.6
Rio de Janeiro,Pública,2019,5.9
Rio de Janeiro,Pública,2021,6.2
Rondônia,Estadual,2007,3.6
Rondônia,Estadual,2009,4
Rondônia,Estadual,2011,4.4
Rondônia,Estadual,2013,4.7
Rondônia,Estadual,2015,5
Rondônia,Estadual,2017,5.2
Rondônia,Estadual,2019,5.5
Rondônia,Estadual,2021,5.8
Rondônia,Privada,2007,5.8
Rondônia,Privada,2009,6
Rondônia,Privada,2011,6.4
Rondônia,Privada,2013,6.6
Rondônia,Privada,2015,6.8
Rondônia,Privada,2017,7
Rondônia,Privada,2019,7.2
Rondônia,Privada,2021,7.4
Rondônia,Pública,2007,3.6
Rondônia,Pública,2009,3.9
Rondônia,Pública,2011,4.3
Rondônia,Pública,2013,4.6
Rondônia,Pública,2015,4.9
Rondônia,Pública,2017,5.2
Rondônia,Pública,2019,5.5
Rondônia,Pública,2021,5.8
Roraima,Estadual,2007,3.6
Roraima,Estadual,2009,3.9
Roraima,Estadual,2011,4.3
Roraima,Estadual,2013,4.6
Roraima,Estadual,2015,4.9
Roraima,Estadual,2017,5.2
Roraima,Estadual,2019,5.5
Roraima,Estadual,2021,5.7
Roraima,Privada,2007,6.1
Roraima,Privada,2009,6.4
Roraima,Privada,2011,6.7
Roraima,Privada,2013,6.9
Roraima,Privada,2015,7.1
Roraima,Privada,2017,7.3
Roraima,Privada,2019,7.5
Roraima,Privada,2021,7.6
Roraima,Pública,2007,3.7
Roraima,Pública,2009,4
Roraima,Pública,2011,4.4
Roraima,Pública,2013,4.7
Roraima,Pública,2015,5
Roraima,Pública,2017,5.3
Roraima,Pública,2019,5.6
Roraima,Pública,2021,5.8
Santa Catarina,Estadual,2007,4.4
Santa Catarina,Estadual,2009,4.7
Santa Catarina,Estadual,2011,5.1
Santa Catarina,Estadual,2013,5.4
Santa Catarina,Estadual,2015,5.6
Santa Catarina,Estadual,2017,5.9
Santa Catarina,Estadual,2019,6.2
Santa Catarina,Estadual,2021,6.4
Santa Catarina,Privada,2007,6.5
Santa Catarina,Privada,2009,6.7
Santa Catarina,Privada,2011,7
Santa Catarina,Privada,2013,7.2
Santa Catarina,Privada,2015,7.4
Santa Catarina,Privada,2017,7.5
Santa Catarina,Privada,2019,7.7
Santa Catarina,Privada,2021,7.8
Santa Catarina,Pública,2007,4.4
Santa Catarina,Pública,2009,4.7
Santa Catarina,Pública,2011,5.1
Santa Catarina,Pública,2013,5.4
Santa Catarina,Pública,2015,5.6
Santa Catarina,Pública,2017,5.9
Santa Catarina,Pública,2019,6.2
Santa Catarina,Pública,2021,6.4
Sergipe,Estadual,2007,3.1
Sergipe,Estadual,2009,3.4
Sergipe,Estadual,2011,3.8
Sergipe,Estadual,2013,4.1
Sergipe,Estadual,2015,4.4
Sergipe,Estadual,2017,4.7
Sergipe,Estadual,2019,5
Sergipe,Estadual,2021,5.3
Sergipe,Privada,2007,5.3
Sergipe,Privada,2009,5.6
Sergipe,Privada,2011,6
Sergipe,Privada,2013,6.2
Sergipe,Privada,2015,6.5
Sergipe,Privada,2017,6.7
Sergipe,Privada,2019,6.9
Sergipe,Privada,2021,7.1
Sergipe,Pública,2007,2.9
Sergipe,Pública,2009,3.2
Sergipe,Pública,2011,3.6
Sergipe,Pública,2013,3.9
Sergipe,Pública,2015,4.2
Sergipe,Pública,2017,4.5
Sergipe,Pública,2019,4.8
Sergipe,Pública,2021,5.1
Sudeste,Estadual,2007,4.6
Sudeste,Estadual,2009,4.9
Sudeste,Estadual,2011,5.3
Sudeste,Estadual,2013,5.6
Sudeste,Estadual,2015,5.8
Sudeste,Estadual,2017,6.1
Sudeste,Estadual,2019,6.3
Sudeste,Estadual,2021,6.6
Sudeste,Privada,2007,6.3
Sudeste,Privada,2009,6.6
Sudeste,Privada,2011,6.9
Sudeste,Privada,2013,7.1
Sudeste,Privada,2015,7.3
Sudeste,Privada,2017,7.4
Sudeste,Privada,2019,7.6
Sudeste,Privada,2021,7.8
Sudeste,Pública,2007,4.4
Sudeste,Pública,2009,4.8
Sudeste,Pública,2011,5.2
Sudeste,Pública,2013,5.4
Sudeste,Pública,2015,5.7
Sudeste,Pública,2017,6
Sudeste,Pública,2019,6.2
Sudeste,Pública,2021,6.5
Sul,Estadual,2007,4.3
Sul,Estadual,2009,4.6
Sul,Estadual,2011,5
Sul,Estadual,2013,5.3
Sul,Estadual,2015,5.6
Sul,Estadual,2017,5.8
Sul,Estadual,2019,6.1
Sul,Estadual,2021,6.3
Sul,Privada,2007,6.2
Sul,Privada,2009,6.5
Sul,Privada,2011,6.8
Sul,Privada,2013,7
Sul,Privada,2015,7.2
Sul,Privada,2017,7.4
Sul,Privada,2019,7.5
Sul,Privada,2021,7.7
Sul,Pública,2007,4.3
Sul,Pública,2009,4.7
Sul,Pública,2011,5.1
Sul,Pública,2013,5.4
Sul,Pública,2015,5.6
Sul,Pública,2017,5.9
Sul,Pública,2019,6.1
Sul,Pública,2021,6.4
São Paulo,Estadual,2007,4.6
São Paulo,Estadual,2009,4.9
São Paulo,Estadual,2011,5.3
São Paulo,Estadual,2013,5.5
São Paulo,Estadual,2015,5.8
São Paulo,Estadual,2017,6.1
São Paulo,Estadual,2019,6.3
São Paulo,Estadual,2021,6.6
São Paulo,Privada,2007,6.6
São Paulo,Privada,2009,6.8
São Paulo,Privada,2011,7.1
São Paulo,Privada,2013,7.3
São Paulo,Privada,2015,7.5
São Paulo,Privada,2017,7.6
São Paulo,Privada,2019,7.8
São Paulo,Privada,2021,7.9
São Paulo,Pública,2007,4.6
